Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Home,SET PIECE,,1,4032,268.8,4032,268.8,Player 518,,0.86786,0.35358,0.86786,0.35358
Home,PASS,LONG BALL,1,4074,271.6,4126,275.067,Player 518,Player 430,0.86578,0.34646,0.2201,0.2893
Home,PASS,,1,4140,276.0,4155,277.0,Player 430,Player 310,0.26186,0.2878,0.43836,0.326
Away,PASS,,1,4294,286.267,4299,286.6,Player 259,Player 425,0.70337,0.32435,0.5902,0.25331
Away,BALL LOST,INTERCEPTION,1,4300,286.667,4319,287.933,Player 425,,0.56757,0.23911,0.57261,0.18646
Home,RECOVERY,INTERCEPTION,1,4319,287.933,4319,287.933,Player 516,,0.57261,0.18646,0.57261,0.18646
Away,PASS,,1,4330,288.667,4368,291.2,Player 425,Player 292,0.6147,0.2466,0.6449,0.37366
Away,PASS,,1,4406,293.733,4420,294.667,Player 292,Player 504,0.62851,0.40979,0.7723,0.53517
Away,PASS,,1,4422,294.8,4430,295.333,Player 504,Player 259,0.76018,0.51099,0.66397,0.35678
Away,PASS,,1,4431,295.4,4437,295.8,Player 259,Player 406,0.64617,0.35636,0.55722,0.35429
Away,PASS,LONG BALL,1,4460,297.333,4579,305.267,Player 406,Player 259,0.57167,0.35918,0.96093,0.56866
Away,PASS,,1,4610,307.333,4849,323.267,Player 259,Player 377,0.95895,0.51967,0.71514,0.31043
Away,PASS,LONG BALL,1,4851,323.4,4918,327.867,Player 377,Player 505,0.69001,0.28849,0.18575,0.35994
Away,PASS,,1,4926,328.4,4932,328.8,Player 505,Player 406,0.19672,0.3681,0.21506,0.37639
Away,CHALLENGE,AERIAL-LOST,1,4955,330.333,4965,331.0,Player 503,,0.2265,0.38626,0.22945,0.38975
Home,CHALLENGE,AERIAL-WON,1,4955,330.333,4965,331.0,Player 306,,0.2265,0.38626,0.22945,0.38975
Home,PASS,,1,4973,331.533,4978,331.867,Player 306,Player 518,0.23664,0.39623,0.26886,0.42459
Home,PASS,,1,4981,332.067,4982,332.133,Player 518,Player 397,0.29965,0.45169,0.32264,0.46524
Home,CHALLENGE,AERIAL-LOST,1,4983,332.2,5015,334.333,Player 397,,0.34563,0.47879,0.56488,0.85623
Away,CHALLENGE,AERIAL-WON,1,4983,332.2,5015,334.333,Player 504,,0.34563,0.47879,0.56488,0.85623
Away,PASS,LONG BALL,1,5035,335.667,5052,336.8,Player 3,Player 592,0.50119,0.95859,0.21759,0.62525
Away,PASS,,1,5189,345.933,5202,346.8,Player 592,Player 406,0.2263,0.46581,0.39831,0.36232
Away,PASS,LONG BALL,1,5204,346.933,5242,349.467,Player 406,Player 503,0.42478,0.3464,0.78941,0.28424
Away,BALL LOST,OUT,1,5243,349.533,5243,349.533,Player 503,,0.7917,0.28464,0.87429,-0.05254
Away,SET PIECE,THROW IN,1,5254,350.267,5254,350.267,Player 377,,0.87429,-0.05254,0.87429,-0.05254
Home,PASS,LONG BALL,1,5276,351.733,5406,360.4,Player 515,Player 616,0.75425,0.12777,0.38057,0.06816
Home,PASS,,1,5407,360.467,5410,360.667,Player 616,Player 590,0.38122,0.08294,0.36159,0.16137
Home,BALL LOST,OUT,1,5411,360.733,5411,360.733,Player 590,,0.35145,0.1932,0.27584,-0.03045
Home,SET PIECE,,1,5931,395.4,5931,395.4,Player 612,,0.14787,0.5049,0.14787,0.5049
Home,PASS,,1,6029,401.933,6032,402.133,Player 612,Player 679,0.13389,0.46661,0.16078,0.52166
Home,PASS,,1,6033,402.2,6034,402.267,Player 679,Player 363,0.17429,0.54949,0.1878,0.57732
Home,PASS,,1,6085,405.667,6337,422.467,Player 363,Player 612,0.19755,0.58386,0.23753,0.68424
Home,BALL LOST,INTERCEPTION,1,6360,424.0,6472,431.467,Player 612,,0.22942,0.69377,0.20689,0.6181
Away,RECOVERY,INTERCEPTION,1,6472,431.467,6472,431.467,Player 592,,0.20689,0.6181,0.20689,0.6181
Away,PASS,LONG BALL,1,6522,434.8,6540,436.0,Player 592,Player 259,0.20991,0.61531,0.62967,0.77709
Away,PASS,,1,6564,437.6,6573,438.2,Player 259,Player 504,0.58657,0.84017,0.54285,0.95511
Away,BALL LOST,OUT,1,6600,440.0,6600,440.0,Player 504,,0.49363,1.01143,0.49985,1.02359
Home,SET PIECE,THROW IN,1,6601,440.067,6601,440.067,Player 711,,0.49985,1.02359,0.49985,1.02359
Home,BALL LOST,OUT,1,6602,440.133,6602,440.133,Player 711,,0.49395,1.0259,0.46957,1.03603
Home,SET PIECE,THROW IN,1,6606,440.4,6606,440.4,Player 701,,0.46957,1.03603,0.46957,1.03603
Home,BALL LOST,OUT,1,6640,442.667,6640,442.667,Player 701,,0.48481,1.02767,0.48214,1.0074
Home,SET PIECE,,1,6652,443.467,6652,443.467,Player 590,,0.46101,0.88865,0.46101,0.88865
Home,BALL LOST,INTERCEPTION,1,6653,443.533,6804,453.6,Player 590,,0.44036,0.86701,0.19913,0.59689
Away,RECOVERY,INTERCEPTION,1,6804,453.6,6804,453.6,Player 592,,0.19913,0.59689,0.19913,0.59689
Away,BALL LOST,INTERCEPTION,1,6858,457.2,7262,484.133,Player 592,,0.19499,0.59179,0.24444,0.68682
Home,RECOVERY,INTERCEPTION,1,7262,484.133,7262,484.133,Player 721,,0.24444,0.68682,0.24444,0.68682
Home,BALL LOST,,1,7275,485.0,7276,485.067,Player 721,,0.17285,0.51932,0.16637,0.5053
Away,RECOVERY,,1,7276,485.067,7276,485.067,Player 724,,0.16637,0.5053,0.16637,0.5053
Away,PASS,,1,7305,487.0,7309,487.267,Player 730,Player 592,0.11798,0.44853,0.08612,0.46347
Away,BALL LOST,INTERCEPTION,1,7311,487.4,7321,488.067,Player 592,,0.07515,0.4227,0.13685,0.43075
Home,RECOVERY,INTERCEPTION,1,7321,488.067,7321,488.067,Player 728,,0.13685,0.43075,0.13685,0.43075
Home,BALL LOST,,1,7351,490.067,7352,490.133,Player 633,,0.09452,0.4008,0.07898,0.38968
Away,RECOVERY,,1,7352,490.133,7352,490.133,Player 592,,0.07898,0.38968,0.07898,0.38968
Away,PASS,,1,7406,493.733,7415,494.333,Player 592,Player 504,0.09629,0.40248,0.16278,0.42894
Home,PASS,,1,7428,495.2,7441,496.067,Player 721,Player 728,0.1734,0.34193,0.16598,0.29847
Home,PASS,LONG BALL,1,7445,496.333,7599,506.6,Player 633,Player 710,0.19078,0.2604,0.57975,0.55494
Home,PASS,,1,7622,508.133,7623,508.2,Player 710,Player 590,0.63283,0.55582,0.60848,0.54918
Home,BALL LOST,INTERCEPTION,1,7624,508.267,7634,508.933,Player 590,,0.58413,0.54254,0.34066,0.47617
Away,RECOVERY,INTERCEPTION,1,7634,508.933,7634,508.933,Player 592,,0.34066,0.47617,0.34066,0.47617
Home,PASS,,1,8791,586.067,8792,586.133,Player 633,Player 430,0.434,0.4916,0.45186,0.51836
Home,PASS,,1,8793,586.2,8833,588.867,Player 430,Player 633,0.46973,0.54512,0.51564,0.56593
Home,PASS,,1,8836,589.067,8855,590.333,Player 633,Player 616,0.48111,0.50304,0.41207,0.62861
Home,BALL LOST,OUT,1,8892,592.8,8892,592.8,Player 616,,0.39881,0.66125,0.23175,-0.00549
Home,SET PIECE,THROW IN,1,8926,595.067,8926,595.067,Player 721,,0.23175,-0.00549,0.23175,-0.00549
Home,BALL LOST,OUT,1,8933,595.533,8933,595.533,Player 721,,0.22181,-0.09499,0.2057,-0.0027
Home,SET PIECE,,1,8946,596.4,8946,596.4,Player 721,,0.15202,0.30492,0.15202,0.30492
Home,PASS,,1,8984,598.933,8995,599.667,Player 721,Player 616,0.14903,0.37914,0.12388,0.46584
Home,PASS,,1,9014,600.933,9028,601.867,Player 616,Player 721,0.13162,0.47934,0.1562,0.35359
Away,PASS,,1,9055,603.667,9063,604.2,Player 698,Player 832,0.22589,0.24084,0.3031,0.19454
Away,BALL LOST,,1,9066,604.4,9067,604.467,Player 832,,0.30983,0.18984,0.30956,0.18899
Home,RECOVERY,,1,9067,604.467,9067,604.467,Player 590,,0.30956,0.18899,0.30956,0.18899
Home,PASS,,1,9086,605.733,9103,606.867,Player 590,Player 721,0.29859,0.17393,0.16781,0.21511
Home,PASS,LONG BALL,1,9120,608.0,9147,609.8,Player 721,Player 890,0.19137,0.21901,0.86998,0.35283
Home,BALL LOST,OUT,1,9150,610.0,9150,610.0,Player 890,,0.87001,0.35306,0.80702,-0.00093
Away,SET PIECE,,1,9330,622.0,9330,622.0,Player 724,,0.87581,0.43218,0.87581,0.43218
Away,PASS,,1,9335,622.333,9787,652.467,Player 724,Player 831,0.85598,0.45834,0.63612,0.35636
Away,PASS,,1,9803,653.533,9807,653.8,Player 831,Player 703,0.62394,0.38628,0.68629,0.47466
Away,PASS,,1,9814,654.267,9816,654.4,Player 703,Player 831,0.65625,0.44005,0.63501,0.41794
Away,BALL LOST,INTERCEPTION,1,9818,654.533,9863,657.533,Player 831,,0.61377,0.39583,0.58857,0.37589
Home,RECOVERY,INTERCEPTION,1,9863,657.533,9863,657.533,Player 728,,0.58857,0.37589,0.58857,0.37589
Away,PASS,LONG BALL,1,9889,659.267,9987,665.8,Player 377,Player 942,0.6377,0.48921,0.25609,0.44799
Away,PASS,,1,10004,666.933,10045,669.667,Player 942,Player 984,0.25895,0.4174,0.30473,0.59441
Away,BALL LOST,INTERCEPTION,1,10067,671.133,10074,671.6,Player 984,,0.36168,0.61543,0.39805,0.64444
Home,RECOVERY,INTERCEPTION,1,10074,671.6,10074,671.6,Player 616,,0.39805,0.64444,0.39805,0.64444
Home,BALL LOST,INTERCEPTION,1,10111,674.067,10117,674.467,Player 616,,0.46953,0.72497,0.50566,0.71092
Away,RECOVERY,INTERCEPTION,1,10117,674.467,10117,674.467,Player 893,,0.50566,0.71092,0.50566,0.71092
Away,PASS,,1,10170,678.0,10188,679.2,Player 893,Player 937,0.70862,0.70935,0.83277,0.81741
Away,BALL LOST,INTERCEPTION,1,10189,679.267,10262,684.133,Player 937,,0.84009,0.78856,0.55461,0.52861
Home,RECOVERY,INTERCEPTION,1,10262,684.133,10262,684.133,Player 944,,0.55461,0.52861,0.55461,0.52861
Home,PASS,,1,10275,685.0,10287,685.8,Player 944,Player 934,0.51064,0.4908,0.4521,0.39526
Home,PASS,,1,10292,686.133,10300,686.667,Player 934,Player 721,0.45883,0.36711,0.51725,0.33211
Home,PASS,,1,10303,686.867,10304,686.933,Player 721,Player 947,0.52798,0.32849,0.55117,0.33729
Home,BALL LOST,INTERCEPTION,1,10305,687.0,10321,688.067,Player 947,,0.57436,0.34609,0.69094,0.40637
Away,RECOVERY,INTERCEPTION,1,10321,688.067,10321,688.067,Player 730,,0.69094,0.40637,0.69094,0.40637
Away,PASS,,1,10355,690.333,10358,690.533,Player 730,Player 964,0.67909,0.3972,0.6501,0.37936
Away,PASS,,1,10359,690.6,10374,691.6,Player 964,Player 950,0.64044,0.37341,0.4955,0.28418
Away,BALL LOST,,1,10376,691.733,10377,691.8,Player 950,,0.47617,0.27229,0.46651,0.26634
Home,RECOVERY,,1,10377,691.8,10377,691.8,Player 728,,0.46651,0.26634,0.46651,0.26634
Home,PASS,,1,10409,693.933,10427,695.133,Player 728,Player 430,0.30789,0.2621,0.14648,0.32199
Home,BALL LOST,,1,10511,700.733,10512,700.8,Player 728,,0.27879,0.19684,0.29153,0.19304
Away,RECOVERY,,1,10512,700.8,10512,700.8,Player 950,,0.29153,0.19304,0.29153,0.19304
Away,PASS,,1,10515,701.0,10522,701.467,Player 950,Player 377,0.32302,0.18467,0.38639,0.16449
Away,PASS,,1,10525,701.667,10717,714.467,Player 377,Player 964,0.42149,0.17594,0.66821,0.2313
Away,BALL LOST,,1,10718,714.533,10720,714.667,Player 964,,0.66711,0.26867,0.66489,0.34341
Home,RECOVERY,,1,10720,714.667,10720,714.667,Player 935,,0.66489,0.34341,0.66489,0.34341
Home,PASS,,1,10767,717.8,10772,718.133,Player 935,Player 1026,0.65394,0.36359,0.62322,0.41963
Home,PASS,,1,10776,718.4,10789,719.267,Player 1026,Player 861,0.62172,0.45846,0.63663,0.61022
Home,BALL LOST,INTERCEPTION,1,10792,719.467,10797,719.8,Player 861,,0.66461,0.61493,0.75182,0.5955
Away,RECOVERY,INTERCEPTION,1,10797,719.8,10797,719.8,Player 818,,0.75182,0.5955,0.75182,0.5955
Away,BALL LOST,OUT,1,10817,721.133,10817,721.133,Player 818,,0.78047,0.81358,1.01352,0.26046
Home,SET PIECE,,1,10901,726.733,10901,726.733,Player 721,,0.83425,0.51853,0.83425,0.51853
Home,PASS,,1,10902,726.8,10909,727.267,Player 721,Player 947,0.82814,0.55405,0.78542,0.80269
Home,PASS,,1,10910,727.333,10911,727.4,Player 947,Player 935,0.77932,0.83821,0.77322,0.87373
Home,BALL LOST,INTERCEPTION,1,10918,727.867,10933,728.867,Player 947,,0.76247,0.85029,0.6418,0.6622
Away,RECOVERY,INTERCEPTION,1,10933,728.867,10933,728.867,Player 966,,0.6418,0.6622,0.6418,0.6622
Home,PASS,,1,10948,729.867,10951,730.067,Player 861,Player 927,0.61966,0.77238,0.67088,0.84387
Home,BALL LOST,,1,10960,730.667,10961,730.733,Player 927,,0.72104,0.9232,0.72394,0.92941
Away,RECOVERY,,1,10961,730.733,10961,730.733,Player 910,,0.72394,0.92941,0.72394,0.92941
Away,BALL LOST,INTERCEPTION,1,10980,732.0,11118,741.2,Player 910,,0.70122,0.90055,0.13628,0.32449
Home,RECOVERY,INTERCEPTION,1,11118,741.2,11118,741.2,Player 616,,0.13628,0.32449,0.13628,0.32449
Home,PASS,LONG BALL,1,11140,742.667,11184,745.6,Player 927,Player 430,0.12558,0.31546,0.43021,0.39849
Home,BALL LOST,OUT,1,11215,747.667,11215,747.667,Player 430,,0.4576,-0.03237,0.44854,-0.01559
Home,SET PIECE,,1,11234,748.933,11234,748.933,Player 430,,0.28548,0.28638,0.28548,0.28638
Home,PASS,LONG BALL,1,11252,750.133,11397,759.8,Player 430,Player 1093,0.27439,0.26213,0.77762,0.35194
Away,BALL LOST,INTERCEPTION,1,11765,784.333,11771,784.733,Player 966,,0.17799,0.36686,0.32917,0.35457
Home,RECOVERY,INTERCEPTION,1,11771,784.733,11771,784.733,Player 926,,0.32917,0.35457,0.32917,0.35457
Home,PASS,,1,11774,784.933,12510,834.0,Player 926,Player 1101,0.31688,0.38963,0.22039,0.40244
Home,BALL LOST,INTERCEPTION,1,12511,834.067,12690,846.0,Player 1101,,0.24221,0.38399,0.15588,0.47661
Away,RECOVERY,INTERCEPTION,1,12690,846.0,12690,846.0,Player 1130,,0.15588,0.47661,0.15588,0.47661
Away,SHOT,SAVED,1,12857,857.133,14162,944.133,Player 1130,,0.1364,0.40123,0.31123,0.41917
Home,BALL LOST,OUT,1,14163,944.2,14163,944.2,Player 1154,,0.29159,0.39776,0.21445,-0.02593
Away,SET PIECE,,1,14335,955.667,14335,955.667,Player 1130,,0.20104,0.61798,0.20104,0.61798
Away,PASS,,1,15143,1009.533,15152,1010.133,Player 1244,Player 730,0.57313,0.7649,0.66176,0.79519
Away,PASS,,1,15154,1010.267,15174,1011.6,Player 730,Player 1337,0.65976,0.79403,0.61672,0.73984
Home,PASS,,1,15309,1020.6,15314,1020.933,Player 1335,Player 1454,0.81213,0.44074,0.90707,0.56599
Home,PASS,LONG BALL,1,15355,1023.667,15512,1034.133,Player 1454,Player 1292,0.87318,0.54149,0.25399,0.83191
Home,PASS,,1,15533,1035.533,15552,1036.8,Player 1292,Player 1472,0.27254,0.80626,0.30709,0.565
Home,PASS,,1,15615,1041.0,15648,1043.2,Player 1472,Player 1292,0.30698,0.32138,0.29782,0.49177
Home,BALL LOST,OUT,1,15731,1048.733,15731,1048.733,Player 1292,,0.37656,0.56241,0.21468,-0.00215
Home,SET PIECE,,1,15781,1052.067,15781,1052.067,Player 1472,,0.16219,0.26607,0.16219,0.26607
Home,BALL LOST,OUT,1,15849,1056.6,15849,1056.6,Player 1472,,0.29037,0.23951,1.03251,0.82136
Home,SET PIECE,,1,15924,1061.6,15924,1061.6,Player 1472,,0.17963,0.17476,0.17963,0.17476
Home,PASS,LONG BALL,1,15989,1065.933,16003,1066.867,Player 1472,Player 1529,0.54947,0.34124,0.88265,0.33237
Home,PASS,,1,16219,1081.267,16249,1083.267,Player 1555,Player 1512,0.57043,0.20721,0.70009,0.30898
Home,BALL LOST,,1,16250,1083.333,16251,1083.4,Player 1512,,0.7191,0.32769,0.7381,0.3464
Away,RECOVERY,,1,16251,1083.4,16251,1083.4,Player 730,,0.7381,0.3464,0.7381,0.3464
Away,BALL LOST,INTERCEPTION,1,16254,1083.6,16263,1084.2,Player 730,,0.73815,0.34646,0.71834,0.31171
Home,RECOVERY,INTERCEPTION,1,16263,1084.2,16263,1084.2,Player 1512,,0.71834,0.31171,0.71834,0.31171
Home,PASS,,1,16268,1084.533,16270,1084.667,Player 1512,Player 1550,0.68539,0.25327,0.67222,0.22989
Home,PASS,,1,16274,1084.933,16284,1085.6,Player 1550,Player 1512,0.64902,0.20826,0.63115,0.24014
Away,PASS,,1,16289,1085.933,16321,1088.067,Player 1553,Player 730,0.71285,0.32003,0.81679,0.3639
Away,PASS,LONG BALL,1,16343,1089.533,16420,1094.667,Player 730,Player 1438,0.91646,0.37841,0.31593,0.36171
Away,PASS,,1,16435,1095.667,16441,1096.067,Player 1438,Player 1570,0.31984,0.4044,0.22305,0.5449
Away,SHOT,SAVED,1,16465,1097.667,16566,1104.4,Player 1570,,0.17614,0.53139,0.11112,0.41347
Home,PASS,,1,16578,1105.2,16589,1105.933,Player 1292,Player 1561,0.10327,0.45813,0.03043,0.29663
Home,PASS,,1,16591,1106.067,16603,1106.867,Player 1561,Player 1575,0.03893,0.31614,0.1012,0.37331
Home,PASS,,1,16641,1109.4,16746,1116.4,Player 1292,Player 1336,0.11204,0.41284,0.2831,0.42214
Home,BALL LOST,INTERCEPTION,1,16829,1121.933,16914,1127.6,Player 1336,,0.30517,0.42154,0.10407,0.4067
Away,RECOVERY,INTERCEPTION,1,16914,1127.6,16914,1127.6,Player 1576,,0.10407,0.4067,0.10407,0.4067
Away,PASS,,1,16963,1130.867,17115,1141.0,Player 1576,Player 1584,0.11742,0.38561,0.21369,0.21573
Away,SHOT,SAVED,1,17117,1141.133,17400,1160.0,Player 1584,,0.17431,0.2524,0.20865,0.66402
Home,PASS,,1,17497,1166.467,17571,1171.4,Player 1336,Player 1294,0.19266,0.49719,0.36045,0.26221
Away,PASS,CROSS,1,17574,1171.6,17645,1176.333,Player 1553,Player 1584,0.4162,0.1896,0.1634,0.42971
Away,PASS,,1,17658,1177.2,17665,1177.667,Player 1584,Player 1576,0.1505,0.3783,0.07225,0.41847
Away,SHOT,SAVED,1,17679,1178.6,17884,1192.267,Player 1576,,0.0325,0.40296,0.22703,0.44576
Home,BALL LOST,,1,17893,1192.867,17894,1192.933,Player 1473,,0.23137,0.43544,0.23208,0.43423
